to_multiple,from,cc,sent_email,time,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number,ID,spam
0,1,0,0,2012-03-12 17:29:35,0,0,0,no,1,0,0,4.358,65,1,0,0,0,0,big,EXQLwc2Hop,spam
0,1,0,0,2012-02-15 13:38:13,0,0,1,no,0,0,0,29.379,711,1,0,0,0,2,small,QuBe92kXg6,spam
0,1,6,0,2012-02-07 18:29:02,0,0,0,no,0,0,0,7.449,199,1,1,0,0,5,small,3R1Gr4iueW,spam
0,1,0,0,2012-02-06 13:52:47,0,0,0,no,0,0,0,25.167,636,1,0,0,0,1,small,dt4kM2RB8D,spam
0,1,0,1,2012-03-20 21:26:07,0,0,0,no,0,0,0,1.376,34,1,0,1,0,0,small,SrvEdYBS8j,spam
0,1,0,0,2012-02-01 02:05:06,0,0,0,no,0,0,2,1.091,25,0,0,0,0,1,none,czv5J6Ufq1,not_spam
0,1,0,0,2012-02-27 05:35:54,0,0,2,no,0,0,0,0.984,50,0,0,0,0,1,big,d5M5rA51Zz,not_spam
0,1,0,0,2012-03-30 13:38:56,0,0,48,no,0,0,0,151.395,2998,1,0,0,0,1,small,bfTh9MFNhZ,not_spam
0,1,0,0,2012-02-21 07:43:32,0,0,0,no,0,0,0,2.984,28,1,0,0,0,3,small,7AXl0IdSrW,not_spam
0,1,0,1,2012-01-22 06:52:40,0,0,0,no,0,0,2,7.652,136,1,1,0,0,2,small,1wriCJywvJ,not_spam
0,1,1,0,2012-02-24 11:44:29,0,0,0,no,0,0,0,22.091,569,1,1,0,0,12,big,NhcFSvhOT8,not_spam
0,1,0,0,2012-02-27 12:17:14,0,0,4,no,0,0,0,28.759,699,1,0,0,0,4,small,zsGIWLPUrc,spam
0,1,0,0,2012-01-15 17:39:22,0,0,1,no,0,0,18,20.021,240,1,0,0,0,22,small,VxUvbjsCni,not_spam
0,1,0,1,2012-01-09 11:28:59,0,0,0,no,0,0,0,10.41,225,1,1,0,0,4,small,wudegI0PFm,spam
0,1,0,0,2012-02-18 05:23:51,0,0,0,no,0,0,0,2.432,55,1,0,0,0,6,none,xPAOQNREj2,spam
0,1,0,1,2012-02-08 11:59:31,0,0,0,no,0,0,0,4.533,115,1,1,0,0,0,small,3bBjbmEebB,not_spam
1,1,0,0,2012-01-23 06:37:26,0,0,0,no,0,0,0,35.925,460,0,0,0,0,0,big,k7RrDcmPOz,spam
