"spam","to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number","ID"
"spam",1,1,1,1,"2012-01-01 10:45:21",1,1,0,"no",0,0,0,7.421,237,1,0,0,0,18,"small","nMQRoyqYqf"
"spam",0,1,1,0,"2012-01-01 13:40:51",0,0,0,"no",0,0,0,4.02,79,0,1,0,0,1,"small","Ao4Cd7uZC5"
"spam",0,1,0,0,"2012-01-01 18:05:45",0,0,0,"no",0,0,0,2.192,85,1,0,0,0,3,"big","QgiBf1SHga"
"spam",0,1,0,0,"2012-01-01 18:51:24",0,0,0,"no",0,0,0,2.228,45,0,1,0,0,1,"small","tKnyroRvfe"
"spam",0,1,1,0,"2012-01-01 19:16:39",0,0,0,"no",0,0,0,3.959,81,0,1,0,0,1,"small","ZcNN3E3fSi"
"spam",0,1,0,0,"2012-01-01 20:43:43",0,0,0,"no",0,0,0,2.207,57,1,0,0,0,5,"small","LwGWA1m6Gh"
"spam",0,1,1,0,"2012-01-02 07:12:51",0,0,0,"no",0,0,0,45.842,881,1,1,0,0,5,"big","HAfiGBF602"
"spam",0,1,0,0,"2012-01-02 07:12:51",0,0,0,"no",0,0,0,2.317,30,0,0,0,0,0,"big","rWrarPrWmS"
"spam",1,1,1,0,"2012-01-02 12:50:47",0,0,0,"no",0,0,0,13.788,169,0,1,0,0,3,"small","PsAplYsttp"
"spam",0,1,7,0,"2012-01-02 16:07:51",0,0,0,"no",0,0,0,0.334,9,0,1,0,0,0,"small","Z1iebn7FNz"
"spam",0,1,0,0,"2012-01-02 13:55:03",0,0,0,"no",0,0,0,1.482,24,1,0,0,0,0,"none","tjWTr92Yzk"
"spam",0,1,0,0,"2012-01-02 17:07:17",0,0,0,"no",0,0,0,14.431,296,1,0,0,0,0,"small","ku6NAVtlHb"
"spam",0,1,0,1,"2012-01-02 21:31:45",0,0,6,"no",0,0,0,14.241,308,1,1,0,0,6,"small","C1eqhFwZOD"
"spam",0,1,0,0,"2012-01-02 21:41:35",0,0,5,"no",0,0,0,0.978,13,0,0,0,0,0,"small","5PY2QGSFmL"
"spam",0,1,0,1,"2012-01-03 01:29:15",0,0,0,"no",0,0,0,1.398,41,0,0,0,0,1,"none","gdGGLM3KTX"
"spam",0,1,0,0,"2012-01-03 03:14:51",0,0,0,"no",0,0,1,0.978,14,0,0,0,0,0,"small","AQPOaNuUv2"
"spam",0,1,0,1,"2012-01-03 12:59:23",0,0,0,"no",0,0,0,1.732,54,1,1,0,0,0,"small","wahGGuOrtp"
"spam",0,1,0,0,"2012-01-03 13:48:40",0,0,0,"no",0,0,0,2.938,81,1,1,0,0,4,"small","hl1VqSclL4"
"spam",0,1,0,1,"2012-01-03 11:19:04",0,0,0,"no",0,0,0,0.599,16,1,0,0,0,0,"none","p23N2iwDQS"
"spam",0,1,3,0,"2012-01-03 14:19:37",0,1,0,"no",0,0,0,3.485,108,0,1,0,0,0,"small","HP5xMVmXos"
"spam",1,1,0,1,"2012-01-03 12:57:27",0,0,0,"no",0,0,0,0.64,19,1,0,0,0,0,"none","TtPibBcIZA"
"spam",0,1,1,1,"2012-01-03 19:45:00",0,0,0,"no",0,0,0,1.132,33,1,1,0,0,4,"small","ydYoBFAnxM"
"spam",0,1,0,0,"2012-01-04 09:49:52",0,0,0,"no",0,0,0,2.454,61,0,0,0,0,1,"small","iWbHnez8AQ"
"spam",0,1,0,1,"2012-01-04 05:03:37",0,1,0,"no",0,0,0,0.347,18,0,0,0,0,0,"small","FwVPi1dIwy"
"spam",0,1,0,0,"2012-01-04 05:21:20",0,0,0,"no",0,0,0,10.952,309,1,0,0,0,3,"big","xUu7zHxhvS"
"spam",1,1,1,0,"2012-01-04 06:09:29",0,0,0,"no",0,0,0,15.038,297,1,1,0,0,4,"big","Jsr6609kIF"
"spam",0,1,0,1,"2012-01-04 13:03:40",0,0,0,"no",0,0,0,4.995,130,1,1,0,0,8,"small","Y9LvQLVvvW"
"spam",0,1,0,1,"2012-01-04 05:03:05",0,0,0,"no",0,0,0,16.51,394,1,1,0,0,8,"small","H6d22e8p1V"
"spam",0,1,0,0,"2012-01-04 05:15:49",0,0,0,"no",0,0,0,6.717,114,1,0,0,0,1,"small","pwk4BTJkNQ"
"spam",0,1,1,0,"2012-01-04 08:58:32",0,0,0,"no",0,0,0,6.056,141,0,1,0,0,3,"small","n9BdVACMNl"
"spam",0,1,0,1,"2012-01-04 07:10:01",0,0,0,"no",0,0,0,31.112,875,1,1,0,0,16,"small","5srwSw2om9"
"spam",0,1,2,1,"2012-01-04 10:16:21",0,0,0,"no",0,0,0,6.264,135,1,1,0,0,4,"big","O5zvqKOraw"
"spam",0,1,0,1,"2012-01-04 10:49:54",0,0,0,"no",0,0,0,12.862,333,1,1,0,0,4,"small","YaecTgf4vG"
"spam",0,1,0,1,"2012-01-04 11:17:16",0,0,0,"no",0,0,0,17.06,426,1,1,0,0,8,"small","BWgnxtsiAm"
"spam",1,1,0,1,"2012-01-04 11:27:31",0,0,0,"no",0,0,0,5.887,89,0,0,0,0,0,"small","i6tfJSqpW0"
"spam",0,1,0,0,"2012-01-04 12:19:00",0,0,0,"no",0,0,0,23.172,456,1,0,0,0,57,"small","rH97m0fUV9"
"spam",0,1,0,0,"2012-01-04 18:20:13",0,0,0,"no",0,0,0,24.202,680,1,0,0,0,4,"small","mSQ82XzrDz"
"spam",1,1,0,0,"2012-01-04 13:49:46",0,0,0,"no",0,0,0,8.347,202,1,0,0,0,5,"big","LVr9Igs0Sg"
"spam",0,1,0,1,"2012-01-04 12:50:45",0,0,8,"no",0,0,0,11.615,210,1,1,0,0,4,"small","o6q7rkZIlG"
"spam",0,1,0,0,"2012-01-04 20:29:50",0,0,22,"no",0,0,0,20.191,266,1,0,1,0,30,"small","U3bUsBsGa7"
"spam",0,1,0,0,"2012-01-05 08:06:40",0,0,4,"no",1,0,0,7.764,192,1,0,0,0,6,"small","9V1YXyQa38"
"spam",0,1,0,1,"2012-01-05 05:38:26",0,0,0,"no",0,0,0,3.186,67,1,1,0,0,0,"small","Ohf7O4nq8A"
"spam",0,1,7,1,"2012-01-05 06:25:33",0,0,0,"no",0,0,0,9.871,340,1,0,0,0,11,"big","WHXM37Xz2v"
"spam",0,1,0,1,"2012-01-05 09:24:00",0,0,0,"no",0,0,0,0.342,11,0,1,0,0,0,"small","0yTTwuogWB"
"spam",0,1,0,1,"2012-01-05 10:12:10",0,0,0,"no",0,0,0,6.64,99,0,1,0,0,3,"small","1Y8p8tajSV"
"spam",0,1,0,1,"2012-01-05 07:21:00",0,0,0,"no",0,0,0,3.492,75,1,1,0,0,2,"small","e7bn0urCsX"
"spam",0,1,0,0,"2012-01-05 19:08:08",0,0,0,"no",0,0,0,10.004,197,1,0,0,0,0,"big","KLQCyj6y7D"
"spam",0,1,0,0,"2012-01-06 01:58:25",1,1,0,"no",0,0,0,7.974,104,0,0,0,0,0,"none","DDGq7flsty"
