"to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number","ID"
1,1,1,1,"2012-01-01 10:45:21",1,1,0,"no",0,0,0,7.421,237,1,0,0,0,18,"small","nMQRoyqYqf"
0,1,1,0,"2012-01-01 13:40:51",0,0,0,"no",0,0,0,4.02,79,0,1,0,0,1,"small","Ao4Cd7uZC5"
0,1,0,0,"2012-01-01 18:05:45",0,0,0,"no",0,0,0,2.192,85,1,0,0,0,3,"big","QgiBf1SHga"
0,1,0,0,"2012-01-01 18:51:24",0,0,0,"no",0,0,0,2.228,45,0,1,0,0,1,"small","tKnyroRvfe"
0,1,1,0,"2012-01-01 19:16:39",0,0,0,"no",0,0,0,3.959,81,0,1,0,0,1,"small","ZcNN3E3fSi"
0,1,0,0,"2012-01-01 20:43:43",0,0,0,"no",0,0,0,2.207,57,1,0,0,0,5,"small","LwGWA1m6Gh"
0,1,1,0,"2012-01-02 07:12:51",0,0,0,"no",0,0,0,45.842,881,1,1,0,0,5,"big","HAfiGBF602"
0,1,0,0,"2012-01-02 07:12:51",0,0,0,"no",0,0,0,2.317,30,0,0,0,0,0,"big","rWrarPrWmS"
1,1,1,0,"2012-01-02 12:50:47",0,0,0,"no",0,0,0,13.788,169,0,1,0,0,3,"small","PsAplYsttp"
0,1,7,0,"2012-01-02 16:07:51",0,0,0,"no",0,0,0,0.334,9,0,1,0,0,0,"small","Z1iebn7FNz"
0,1,0,0,"2012-01-02 13:55:03",0,0,0,"no",0,0,0,1.482,24,1,0,0,0,0,"none","tjWTr92Yzk"
0,1,0,0,"2012-01-02 17:07:17",0,0,0,"no",0,0,0,14.431,296,1,0,0,0,0,"small","ku6NAVtlHb"
0,1,0,1,"2012-01-02 21:31:45",0,0,6,"no",0,0,0,14.241,308,1,1,0,0,6,"small","C1eqhFwZOD"
0,1,0,0,"2012-01-02 21:41:35",0,0,5,"no",0,0,0,0.978,13,0,0,0,0,0,"small","5PY2QGSFmL"
0,1,0,1,"2012-01-03 01:29:15",0,0,0,"no",0,0,0,1.398,41,0,0,0,0,1,"none","gdGGLM3KTX"
0,1,0,0,"2012-01-03 03:14:51",0,0,0,"no",0,0,1,0.978,14,0,0,0,0,0,"small","AQPOaNuUv2"
0,1,0,1,"2012-01-03 12:59:23",0,0,0,"no",0,0,0,1.732,54,1,1,0,0,0,"small","wahGGuOrtp"
0,1,0,0,"2012-01-03 13:48:40",0,0,0,"no",0,0,0,2.938,81,1,1,0,0,4,"small","hl1VqSclL4"
0,1,0,1,"2012-01-03 11:19:04",0,0,0,"no",0,0,0,0.599,16,1,0,0,0,0,"none","p23N2iwDQS"
0,1,3,0,"2012-01-03 14:19:37",0,1,0,"no",0,0,0,3.485,108,0,1,0,0,0,"small","HP5xMVmXos"
1,1,0,1,"2012-01-03 12:57:27",0,0,0,"no",0,0,0,0.64,19,1,0,0,0,0,"none","TtPibBcIZA"
0,1,1,1,"2012-01-03 19:45:00",0,0,0,"no",0,0,0,1.132,33,1,1,0,0,4,"small","ydYoBFAnxM"
0,1,0,0,"2012-01-04 09:49:52",0,0,0,"no",0,0,0,2.454,61,0,0,0,0,1,"small","iWbHnez8AQ"
0,1,0,1,"2012-01-04 05:03:37",0,1,0,"no",0,0,0,0.347,18,0,0,0,0,0,"small","FwVPi1dIwy"
0,1,0,0,"2012-01-04 05:21:20",0,0,0,"no",0,0,0,10.952,309,1,0,0,0,3,"big","xUu7zHxhvS"
1,1,1,0,"2012-01-04 06:09:29",0,0,0,"no",0,0,0,15.038,297,1,1,0,0,4,"big","Jsr6609kIF"
0,1,0,1,"2012-01-04 13:03:40",0,0,0,"no",0,0,0,4.995,130,1,1,0,0,8,"small","Y9LvQLVvvW"
0,1,0,1,"2012-01-04 05:03:05",0,0,0,"no",0,0,0,16.51,394,1,1,0,0,8,"small","H6d22e8p1V"
0,1,0,0,"2012-01-04 05:15:49",0,0,0,"no",0,0,0,6.717,114,1,0,0,0,1,"small","pwk4BTJkNQ"
0,1,1,0,"2012-01-04 08:58:32",0,0,0,"no",0,0,0,6.056,141,0,1,0,0,3,"small","n9BdVACMNl"
0,1,0,1,"2012-01-04 07:10:01",0,0,0,"no",0,0,0,31.112,875,1,1,0,0,16,"small","5srwSw2om9"
0,1,2,1,"2012-01-04 10:16:21",0,0,0,"no",0,0,0,6.264,135,1,1,0,0,4,"big","O5zvqKOraw"
0,1,0,1,"2012-01-04 10:49:54",0,0,0,"no",0,0,0,12.862,333,1,1,0,0,4,"small","YaecTgf4vG"
0,1,0,1,"2012-01-04 11:17:16",0,0,0,"no",0,0,0,17.06,426,1,1,0,0,8,"small","BWgnxtsiAm"
1,1,0,1,"2012-01-04 11:27:31",0,0,0,"no",0,0,0,5.887,89,0,0,0,0,0,"small","i6tfJSqpW0"
0,1,0,0,"2012-01-04 12:19:00",0,0,0,"no",0,0,0,23.172,456,1,0,0,0,57,"small","rH97m0fUV9"
0,1,0,0,"2012-01-04 18:20:13",0,0,0,"no",0,0,0,24.202,680,1,0,0,0,4,"small","mSQ82XzrDz"
1,1,0,0,"2012-01-04 13:49:46",0,0,0,"no",0,0,0,8.347,202,1,0,0,0,5,"big","LVr9Igs0Sg"
0,1,0,1,"2012-01-04 12:50:45",0,0,8,"no",0,0,0,11.615,210,1,1,0,0,4,"small","o6q7rkZIlG"
0,1,0,0,"2012-01-04 20:29:50",0,0,22,"no",0,0,0,20.191,266,1,0,1,0,30,"small","U3bUsBsGa7"
0,1,0,0,"2012-01-05 08:06:40",0,0,4,"no",1,0,0,7.764,192,1,0,0,0,6,"small","9V1YXyQa38"
0,1,0,1,"2012-01-05 05:38:26",0,0,0,"no",0,0,0,3.186,67,1,1,0,0,0,"small","Ohf7O4nq8A"
0,1,7,1,"2012-01-05 06:25:33",0,0,0,"no",0,0,0,9.871,340,1,0,0,0,11,"big","WHXM37Xz2v"
0,1,0,1,"2012-01-05 09:24:00",0,0,0,"no",0,0,0,0.342,11,0,1,0,0,0,"small","0yTTwuogWB"
0,1,0,1,"2012-01-05 10:12:10",0,0,0,"no",0,0,0,6.64,99,0,1,0,0,3,"small","1Y8p8tajSV"
0,1,0,1,"2012-01-05 07:21:00",0,0,0,"no",0,0,0,3.492,75,1,1,0,0,2,"small","e7bn0urCsX"
0,1,0,0,"2012-01-05 19:08:08",0,0,0,"no",0,0,0,10.004,197,1,0,0,0,0,"big","KLQCyj6y7D"
0,1,0,0,"2012-01-06 01:58:25",1,1,0,"no",0,0,0,7.974,104,0,0,0,0,0,"none","DDGq7flsty"
1,1,0,0,"2012-01-05 13:28:45",0,0,0,"no",0,0,0,2.881,50,0,0,0,0,0,"small","LOk83fs3hF"
1,1,0,0,"2012-01-06 06:45:02",0,0,0,"no",0,0,0,3.943,47,0,0,0,0,0,"small","OXlcGgI9vs"
0,1,0,0,"2012-01-06 08:28:38",0,0,2,"no",0,0,0,22.344,411,1,0,0,0,49,"small","qB9wUCSzAP"
0,1,0,0,"2012-01-06 07:57:55",0,0,0,"no",0,0,0,5.066,106,1,0,1,0,0,"small","Yh7VEmop2o"
0,1,0,1,"2012-01-06 13:09:22",0,0,0,"no",0,0,0,2.174,49,1,1,0,0,2,"small","8AVouAFusb"
0,1,0,1,"2012-01-06 13:10:25",0,0,0,"no",0,0,0,0.368,12,1,0,0,0,0,"small","baaSouJEPW"
0,1,0,1,"2012-01-06 13:36:01",0,0,0,"no",0,0,0,0.441,16,1,1,0,0,0,"small","WDSK1oNwDl"
0,1,0,0,"2012-01-07 08:00:09",0,0,8,"no",1,0,0,10.017,238,1,0,0,0,7,"small","goqwvnZBxc"
0,1,0,0,"2012-01-07 06:51:29",0,0,0,"no",0,0,0,6.832,116,1,0,0,0,1,"small","u9KQiwc90r"
0,1,0,0,"2012-01-07 08:34:55",0,0,0,"no",0,0,0,8.504,142,1,0,0,0,1,"small","BHXpOlbaAN"
1,1,0,0,"2012-01-07 09:56:20",0,0,0,"no",0,0,0,1.683,34,1,0,1,0,6,"small","AZXcPQsbt8"
0,1,0,0,"2012-01-07 12:28:02",0,0,0,"no",0,0,0,8.002,134,1,0,0,0,1,"small","qLMNlO9feb"
0,1,1,0,"2012-01-07 14:40:56",0,0,0,"no",0,0,0,4.465,102,1,1,1,0,10,"small","qGmPx2Es2P"
0,1,0,0,"2012-01-08 04:44:38",0,0,1,"no",0,0,0,26.404,405,1,0,0,0,13,"small","V3PKNgjgmg"
0,1,0,0,"2012-01-08 08:16:29",0,0,0,"no",0,0,0,13.116,211,1,0,0,0,1,"small","xjeOewiyN6"
0,1,0,0,"2012-01-08 18:02:43",0,0,0,"no",0,0,0,9.27,151,1,0,0,0,1,"small","XYv88FspTK"
0,1,1,1,"2012-01-08 14:30:07",0,0,0,"no",0,0,8,13.404,292,1,1,0,0,4,"small","141ENZcqyA"
0,1,1,1,"2012-01-08 14:34:30",0,0,2,"no",0,0,0,1.39,29,0,0,0,0,0,"small","CijBvxNrnh"
0,1,0,1,"2012-01-09 03:19:47",0,0,0,"no",0,0,0,2.705,46,0,1,0,0,1,"none","tkPqzcMI5c"
0,1,0,0,"2012-01-09 05:30:57",0,0,4,"no",0,0,0,4.56,98,1,0,0,0,2,"big","ziOIfB7Zfr"
0,1,0,0,"2012-01-09 11:11:15",0,0,0,"no",0,0,0,5.255,106,1,0,0,0,4,"small","N6dOsUvzue"
1,1,0,1,"2012-01-09 08:44:05",0,0,0,"no",0,0,0,0.406,13,1,0,0,0,0,"none","0WHL3uR7tN"
1,1,0,0,"2012-01-09 09:43:28",0,0,0,"no",0,0,0,3.991,47,0,0,0,0,0,"small","eKEunTBjPJ"
0,1,0,1,"2012-01-09 11:28:59",0,0,0,"no",0,0,0,10.41,225,1,1,0,0,4,"small","wudegI0PFm"
1,1,1,1,"2012-01-09 11:59:38",0,0,0,"no",0,0,0,23.237,527,1,1,0,0,0,"big","wA1gtwgwfc"
0,1,2,1,"2012-01-09 10:46:14",0,0,0,"no",0,0,0,2.467,59,1,1,0,0,4,"small","idAfqGOJ2e"
0,1,0,0,"2012-01-10 05:07:54",0,0,13,"no",0,0,0,16.103,363,1,0,1,0,2,"small","A3hPOg2uwz"
1,1,0,0,"2012-01-10 07:10:48",0,0,0,"no",0,0,0,3.983,47,0,0,0,0,0,"small","cBP15Qp0ge"
0,1,0,0,"2012-01-10 08:29:19",0,0,0,"no",0,0,0,0.45,14,0,0,0,0,0,"none","QLht1gIBAI"
1,1,0,0,"2012-01-10 08:27:08",0,0,0,"no",0,0,0,10.376,240,1,0,0,0,5,"big","bd9kHZzIEd"
1,1,0,0,"2012-01-10 08:57:51",0,1,0,"no",0,0,0,10.216,202,1,0,0,0,2,"small","soswRoXG4O"
0,1,0,1,"2012-01-10 10:32:03",0,0,0,"no",0,0,0,0.193,7,1,0,0,0,0,"none","UdO2gWJx4w"
1,1,0,1,"2012-01-10 10:42:53",0,0,0,"no",0,0,0,0.43,13,1,0,0,0,0,"none","vk62gT8Ly3"
0,1,0,1,"2012-01-10 11:59:52",0,0,0,"no",0,0,0,0.215,6,0,1,0,0,0,"none","hDkLjbDiWh"
1,1,0,0,"2012-01-10 13:39:17",0,0,0,"no",0,0,0,1.011,38,0,0,0,0,0,"none","50Lfkf6o01"
0,1,0,1,"2012-01-10 18:36:27",0,0,0,"no",0,0,0,0.997,28,1,1,0,0,0,"small","52Hz25NKxL"
0,1,0,0,"2012-01-11 08:00:03",0,0,8,"no",1,0,0,9.774,233,1,0,0,0,7,"small","4PUURuug4u"
0,1,0,0,"2012-01-11 09:48:50",0,0,16,"no",0,0,0,10.468,175,1,0,1,0,14,"small","oXQVMrtJlj"
1,1,0,0,"2012-01-11 12:04:11",0,0,3,"no",0,0,0,15.987,213,0,0,1,0,8,"small","kTnSQ1ptRj"
0,1,0,0,"2012-01-11 18:08:58",0,0,8,"no",0,0,0,9.304,310,1,0,0,0,3,"small","z8SxkbXug0"
0,1,0,0,"2012-01-11 12:34:00",1,2,0,"no",0,0,0,7.537,213,1,0,0,0,5,"small","pS23wLJhli"
0,1,0,0,"2012-01-11 17:53:42",0,0,1,"no",0,0,0,2.099,49,0,0,0,0,1,"small","OPmA4PafSp"
0,1,0,0,"2012-01-11 19:20:32",0,0,0,"no",0,0,0,4.22,105,1,0,0,0,1,"small","WcmyhHxnKG"
0,1,0,0,"2012-01-12 05:09:19",0,0,0,"no",0,0,0,7.812,223,1,0,0,0,0,"small","ZIZtFlbumq"
0,1,0,0,"2012-01-12 08:05:27",0,0,4,"no",1,0,0,7.69,186,1,0,0,0,5,"small","SxYSyaP23K"
0,1,0,1,"2012-01-12 09:18:27",0,0,0,"no",0,0,0,4.866,101,1,1,0,0,8,"small","ssLkiazJZP"
0,1,0,1,"2012-01-12 07:56:44",0,0,0,"no",0,0,0,1.002,31,1,1,0,0,0,"small","oBk9EBQazl"
0,1,0,0,"2012-01-12 14:40:46",0,0,0,"no",0,0,0,4.917,119,1,0,0,0,0,"big","zsHLJhhkUg"
0,1,5,0,"2012-01-12 14:05:14",0,1,0,"no",0,0,0,5.703,112,0,0,0,0,0,"small","LZnborjcqJ"
0,1,0,1,"2012-01-12 11:07:46",0,0,0,"no",0,0,0,3.368,58,1,0,0,0,0,"small","3JwRoyNJkB"
1,1,0,0,"2012-01-12 15:17:06",0,0,0,"no",0,0,0,2.895,45,0,0,1,0,2,"small","4CZoMaUSvM"
0,1,0,0,"2012-01-13 08:02:22",0,0,4,"no",1,0,0,9.702,229,1,0,0,0,6,"small","ghltAOxZOu"
0,1,0,0,"2012-01-13 04:31:04",0,0,0,"no",0,0,0,26.934,378,1,0,0,0,10,"small","WkWzTFdGUA"
1,1,0,1,"2012-01-13 06:45:07",0,0,0,"no",0,0,0,3.028,84,1,0,0,0,4,"small","LpfnQde3v4"
0,1,0,1,"2012-01-13 07:19:28",0,0,0,"no",0,0,0,5.995,142,1,1,0,0,0,"small","K3JvcNJAqE"
0,1,1,1,"2012-01-13 07:25:34",0,0,0,"no",0,0,0,4.829,128,1,1,0,0,8,"small","JMsrddVwQA"
0,1,1,1,"2012-01-13 08:24:54",0,0,4,"no",0,0,0,10.259,259,1,1,0,0,12,"small","HcRBxhAraf"
